[FACT: The Group is headquartered in Singapore] | [SOURCE: Fu Yu 24 AR_m.md, p.2] | [DATE: N/A]
[FACT: The Group operates 6 strategic manufacturing sites] | [SOURCE: Fu Yu 24 AR_m.md, p.2] | [DATE: N/A]
[FACT: Manufacturing sites are located across Singapore, Malaysia, and China] | [SOURCE: Fu Yu 24 AR_m.md, p.2] | [DATE: N/A]
[FACT: The Group has more than 1.5 million square feet of production floor capacity] | [SOURCE: Fu Yu 24 AR_m.md, p.2] | [DATE: N/A]
[FACT: The Group's flagship Smart Factory is located in Singapore] | [SOURCE: Fu Yu 24 AR_m.md, p.2] | [DATE: N/A]
[FACT: The Smart Factory is located at 9 Tuas Drive 1 in Singapore] | [SOURCE: Fu Yu 24 AR_m.md, p.5] | [DATE: FY2024]
[FACT: The Smart Factory features a 100K-class cleanroom for manufacturing and assembling biomedical products] | [SOURCE: Fu Yu 24 AR_m.md, p.2] | [DATE: N/A]
[FACT: The Smart Factory has over 9,348 sqm of usable space] | [SOURCE: Fu Yu 24 AR_m.md, p.5] | [DATE: FY2024]
[FACT: China operations contributed 27.9% of total manufacturing revenue] | [SOURCE: Fu Yu 24 AR_m.md, p.5] | [DATE: FY2024]
[FACT: Singapore operations contributed 40.2% of total manufacturing sales] | [SOURCE: Fu Yu 24 AR_m.md, p.8] | [DATE: FY2024]
[FACT: Malaysia operations contributed 31.9% of total manufacturing sales] | [SOURCE: Fu Yu 24 AR_m.md, p.8] | [DATE: FY2024]
[FACT: Manufacturing revenue from Singapore operations was S$46.2 million] | [SOURCE: Fu Yu 24 AR_m.md, p.5] | [DATE: FY2024]
[FACT: Manufacturing revenue from Malaysia operations was S$36.6 million] | [SOURCE: Fu Yu 24 AR_m.md, p.5] | [DATE: FY2024]
[FACT: Manufacturing revenue from China operations was S$32.1 million] | [SOURCE: Fu Yu 24 AR_m.md, p.8] | [DATE: FY2024]
[FACT: Total manufacturing revenue was S$54.8 million] | [SOURCE: Fuyu Pres H124_m.md, p.5] | [DATE: 1H2024]
[FACT: Manufacturing revenue from Singapore was S$21.0 million] | [SOURCE: Fuyu Pres H124_m.md, p.5] | [DATE: 1H2024]
[FACT: Manufacturing revenue from Malaysia was S$17.8 million] | [SOURCE: Fuyu Pres H124_m.md, p.5] | [DATE: 1H2024]
[FACT: Manufacturing revenue from China was S$16.0 million] | [SOURCE: Fuyu Pres H124_m.md, p.5] | [DATE: 1H2024]
